violation,skillid,skill name,github developer,store developer,github description,store description
,B07P5LQL9H,Time Spent,repos/BryanC21/Time-Spent,Bryan's Apps,"Time Spent is a skill that allows you to record how much time you have spent on a specific task. Whether you want to keep track of how much time you have spent exercising this week or how much time you have spent watching TV, Time spent can keep track of it all and easily tell you that information whenever you need it. You can say add to add a task with a certain amount of time. You can also use add to add more time to an already existing task. Ask time spent to list your tasks and times or ask time spent to remove any tasks from your list.","Time Spent is a skill that allows you to record how much time you have spent on a specific task. Whether you want to keep track of how much time you have spent exercising this week or how much time you have spent watching TV, Time spent can keep track of it all and easily tell you that information whenever you need it. You can say add to add a task with a certain amount of time. You can also use add to add more time to an already existing task. Ask time spent to list your tasks and times or ask time spent to remove any tasks from your list."
,B071KZFKLM,My Pocket: Unofficial Pocket Skill,repos/carsonip/alexa-pocket,Carson Ip,"This is an unofficial Alexa skill for Pocket. It supports screen display on Echo Show, Echo Spot and others.The skill requires to link to your Pocket account in the Alexa app / website.When you say ""Alexa, ask My Pocket what articles do I have"", it will read you the title of 5 latest articles you saved. Then you may say a number, for example ""Three"", and it will read the corresponding article to you. After finish reading the article, perform an action like archive, unarchive, favorite, unfavorite, or delete, or say ""next"" to read the next article in list.Alternatively, you can say ""Alexa, ask My Pocket to read me an article"" for a randomly picked article in your Pocket.To retrieve articles under a certain tag, e.g. alexa, you can say ""Alexa, ask My Pocket for articles with tag alexa"", or ""Alexa, ask My Pocket for a random article with tag alexa"". The only possible tags are ""alexa"", ""amazon"", and ""echo"". The tag must be lowercase in Pocket.If you would like to link / re-link your Pocket account, say ""Alexa, ask My Pocket to link account"".If you have any suggestions / issues, please report them here: https://github.com/carsonip/alexa-pocket/issuesThis is an open-source skill on GitHub: https://github.com/carsonip/alexa-pocketThis skill is in no way associated with Pocket (Read It Later, Inc).","This is an unofficial Alexa skill for Pocket. It supports screen display on Echo Show, Echo Spot and others.The skill requires to link to your Pocket account in the Alexa app / website.When you say ""Alexa, ask My Pocket what articles do I have"", it will read you the title of 5 latest articles you saved. Then you may say a number, for example ""Three"", and it will read the corresponding article to you. After finish reading the article, perform an action like archive, unarchive, favorite, unfavorite, or delete, or say ""next"" to read the next article in list.Alternatively, you can say ""Alexa, ask My Pocket to read me an article"" for a randomly picked article in your Pocket.To retrieve articles under a certain tag, e.g. alexa, you can say ""Alexa, ask My Pocket for articles with tag alexa"", or ""Alexa, ask My Pocket for a random article with tag alexa"". The only possible tags are ""alexa"", ""amazon"", and ""echo"". The tag must be lowercase in Pocket.If you would like to link / re-link your Pocket account, say ""Alexa, ask My Pocket to link account"".If you have any suggestions / issues, please report them here: https://github.com/carsonip/alexa-pocket/issuesThis is an open-source skill on GitHub: https://github.com/carsonip/alexa-pocketThis skill is in no way associated with Pocket (Read It Later, Inc)."
,B01NH56WYO,Tomato Helper,repos/carsonip/alexa-pomodoro,Carson Ip,"Your voices have been heard! A silent timer is now available. If you have any more comments, create an issue in GitHub issues. The link is at the bottom.This is an unofficial skill of the Pomodoro Technique. It is a timer which allows the user to work for 25 minutes then rest for 5 minutes. Such a pattern boosts productivity and minimizes distraction.After saying ""Alexa, start tomato helper"", followed by ""start timer"" or ""start silent timer"", there will be a 25-minute count-down. After 25 minutes, the alarm will ring to notify the user that it is time for a break. The user should say ""Alexa, next"" to stop the alarm and start the break. After the break, the user should say ""Alexa, next"" to start the next 25-minute of work. After 4 25-minute periods, there will be a longer break of 20 minutes.When the timer is running, say ""Alexa, ask tomato helper for progress"" to check your progress.When you are done, say ""Alexa, stop"".This is an open-source project hosted on GitHub available at https://github.com/carsonip/alexa-pomodoroIf you have any issues or comments, please create an issue at https://github.com/carsonip/alexa-pomodoro/issuesNote: This skill is in no way associated with the ""Pomodoro Technique"", ""Pomodoro"" and Francesco Cirillo.The Pomodoro Technique® and Pomodoro™ are registered trademarks by Francesco Cirillo.","Your voices have been heard! A silent timer is now available. If you have any more comments, create an issue in GitHub issues. The link is at the bottom.This is an unofficial skill of the Pomodoro Technique. It is a timer which allows the user to work for 25 minutes then rest for 5 minutes. Such a pattern boosts productivity and minimizes distraction.After saying ""Alexa, start tomato helper"", followed by ""start timer"" or ""start silent timer"", there will be a 25-minute count-down. After 25 minutes, the alarm will ring to notify the user that it is time for a break. The user should say ""Alexa, next"" to stop the alarm and start the break. After the break, the user should say ""Alexa, next"" to start the next 25-minute of work. After 4 25-minute periods, there will be a longer break of 20 minutes.When the timer is running, say ""Alexa, ask tomato helper for progress"" to check your progress.When you are done, say ""Alexa, stop"".This is an open-source project hosted on GitHub available at https://github.com/carsonip/alexa-pomodoroIf you have any issues or comments, please create an issue at https://github.com/carsonip/alexa-pomodoro/issuesNote: This skill is in no way associated with the ""Pomodoro Technique"", ""Pomodoro"" and Francesco Cirillo.The Pomodoro Technique® and Pomodoro™ are registered trademarks by Francesco Cirillo."
,B08K48RT7V,Two Truths and a Lie,repos/CeesJol/TwoTruths,Cees Jol,"You are given three statements, one of which is a lie. Correctly tell Alexa which one is the lie to win!","You are given three statements, one of which is a lie. There are currently two difficulty modes: easy and hard. For each mode, Alexa will tell you three statements: two facts and one lie. Win by correctly telling Alexa which statement is a lie!"
,B07K4CKG9V,Saint Josemaría,repos/ceich/escriva-works-skill/Saint_Josemar_a,Escriva Works Skill,"Called the saint of ordinary life by Pope St. John Paul II at his canonization in 2002, Josemaría Escrivá has inspired millions with his written and spoken words, which have been published in nine books. Now you can experience these writings in the Alexa voice interface.You can find points by saying the name of the book and the point number.","Called the saint of ordinary life by Pope St. John Paul II at his canonization in 2002, Josemaría Escrivá has inspired millions with his written and spoken words, which have been published in nine books. Now you can experience these writings in the Alexa voice interface.You can find points by saying the name of the book and the point number."
,B0798JMD26,Resistor Value - Find resistance from color bands,repos/cicilthomas/resistor-value,Cicil Thomas,Now you can ask Alexa to find the resistance of a resistor. Open the skill and just say the three colors or four colors including the tolerance band.Currently only four band resistors are supported.,Now you can ask Alexa to find the resistance of a resistor. Open the skill and just say the three colors or four colors including the tolerance band.Currently only four band resistors are supported.
,B0843RR29K,Boston Info,repos/codeforboston/voiceapp311,City of Boston,Boston Info provides easy access to information and services from the City of Boston.,Boston Info provides easy access to information and services from the City of Boston.
,B075BM3FS5,National anthems,repos/corux/alexa-nationalanthems-skill,Corux,This skill allows Alexa to play the national anthems from countries all over the world. Just ask for a country and Alexa will play the national anthem. This skill knows the anthems of 199 countries.This skill uses the national anthems provided by Wikipedia: https://en.wikipedia.org/wiki/List_of_national_anthems,This skill allows Alexa to play the national anthems from countries all over the world. Just ask for a country and Alexa will play the national anthem. This skill knows the anthems of 199 countries.This skill uses the national anthems provided by Wikipedia: https://en.wikipedia.org/wiki/List_of_national_anthems
,B08P3KPJ6G,Hypersensitivity to Audio Simulation,repos/danbwhiting/hypersensitivity-to-audio-skill,Dan Whiting,"While a typical individual is able to ""tune out"" sounds that aren't important to them, for individuals with hypersensitivity to audio, which is common in disorders such as autism, Fragile X syndrome, and Williams syndrome, they hear all of the sounds around them at the same volume and intensity. This simulation seeks to help you understand and sympathize with others. Listen, learn, and understand.","While a typical individual is able to ""tune out"" sounds that aren't important to them, for individuals with hypersensitivity to audio, which is common in disorders such as autism, Fragile X syndrome, and Williams syndrome, they hear all of the sounds around them at the same volume and intensity. This simulation seeks to help you understand and sympathize with others. Listen, learn, and understand.The information in this skill is provided for informational and educational purposes only. It is not a substitute for professional medical advice, treatment, or diagnosis. Call your doctor to receive medical advice. If you think you may have a medical emergency, please dial your local emergency response phone number."
,B08KGXHJR5,date.a.voice,repos/ddlan/date.a.voice,Date.A.Voice,"Date.A.Voice presents the first ever ""voice assistant"" dating simulator, now accessible exclusively on Amazon Alexa. Now is the perfect time to practice your dating skills and try wooing a virtual partner!","Date.A.Voice presents the first ever ""voice assistant"" dating simulator, now accessible exclusively on Amazon Alexa. Now is the perfect time to practice your dating skills and try wooing a virtual partner!"
,B07L5FJH1S,Remindy,repos/dhruvarora2/Remindy-Alexa-Skill,Dhruv Arora,You just need to tell Remindy what and where are you keeping your stuff! And Remindy will remember that and tell you the location if you ask :),You just need to tell Remindy Man what and where are you keeping your stuff! And Remindy will remember that and tell you the location if you ask :)
,B08LNHF2W7,Gwynedd Mercy Academy Elementary,repos/edalatpour/GwyneddMercySkill,Tim Edalatpour,Start your day off right! Find out what day it is and what's going on at school so you can help your kids plan their day.,Start your day off right! Find out what day it is and what's going on at school so you can help your kids plan their day.
,B07WDJDWRJ,Dota Analyst,repos/edwintyx/Dota-Analyst,Edwin,"Dota Analyst is an Esports assistant that aims to provide useful information as well as predictions to users that are particularly interested in the competitive Esports gaming scene called Dota2. (e.g. What are the upcoming matches/tournaments, Overview about a professional gaming team, who will win?).It is important to know that predictions made by Dota Analyst are solely based on mathematics and statistics; of which holds no bias towards or against any one team, with no guarantee that the prediction will be correct.","Dota Analyst is an Esports assistant that aims to provide useful information as well as predictions to users that are particularly interested in the competitive Esports gaming scene called Dota2. (e.g. What are the upcoming matches/tournaments, Overview about a professional gaming team, who will win?).It is important to know that predictions made by Dota Analyst are solely based on mathematics and statistics; of which holds no bias towards or against any one team, with no guarantee that the prediction will be correct."
,B09NNWRHGX,Stand Up Reminder,repos/eureyuri/alexa-stand-up-reminder,Eurey Noguchi,"The Stand Up Reminder reminds you to work for 45 minutes then stand up for 5 minutes to take a break. You can specify the number of rounds for the work session and we will keep reminding you! During the 5 minutes break, we suggest random activities that you can enjoy to relax and have fun. By actually resting during this time, your mind will be rejuvenated to tackle problems and strive through the next work sessions. Out motivation behind this skill is to help you move your body because sitting for a long time has some serious health concerns and we wanted to help you in a natural way.To cancel reminders, say ""Alexa, cancel stand up reminder"" or ""Alexa, cancel all reminders"".","The Stand Up Reminder reminds you to work for 45 minutes then stand up for 5 minutes to take a break. You can specify the number of rounds for the work session and we will keep reminding you! During the 5 minutes break, we suggest random activities that you can enjoy to relax and have fun. By actually resting during this time, your mind will be rejuvenated to tackle problems and strive through the next work sessions. Our motivation behind this skill is to help you move your body because sitting for a long time has some serious health concerns and we wanted to help you in a natural way."
unrelated privacy policy,B088KG5VWL,Daily Prayer,repos/faizan-tariq/DailyPrayer,Faizan Tariq,Schedule reminders for daily prayer when you say setup and play Azaan when you say listen.,Schedule reminders for daily prayer when you say setup and play Azaan when you say listen.
,B08GKWN831,Work Session,repos/filippo-fonseca/worksession_skill,Filippo Fonseca,"'Work Session' is a powerful tool for implementing a focused work/study routine into your day-to-day workflow. This skill builds consistency, improves focus, and allows you to get more done with segmented 'work sessions', or as we like to call them, 'work sesh'.","'Work Session' is a powerful tool for implementing a focused work/study routine into your day-to-day workflow. This skill builds consistency, improves focus, and allows you to get more done with segmented 'work sessions', or as we like to call them, 'work sesh'."
,B07JHXQGZ8,StarCraft 2 companion,repos/GektorGrom/alexa-sc2,GektorGrom,"StarCraft 2 companion will get you brief unit description, unit strengths and weaknesses as well as many other useful information.","StarCraft 2 companion will get you brief unit description, unit strengths and weaknesses as well as many other useful information.I'll create website with all possible invocations. Please give me some feedback about this skill."
,B07D9BPB8Z,Casino War,repos/gsdriver/casinowar,Garrett Vargas,"Play rounds of Casino War, tracking your bankroll as you play. You start with 5,000 dollars in credit and can vary your bet from 5 to 1,000 dollars. Play head to head against the dealer - high card wins unless there's a tie and you go to war!  Compare your bankroll with other players by saying ""read high scores"" to hear the leader board. Keep playing and you can move to the top!Have feedback or features you'd like to see? Connect with us on Facebook at https://www.facebook.com/alexacasinogames!","Play rounds of Casino War, tracking your bankroll as you play. You start with 5,000 dollars in credit and can vary your bet from 5 to 1,000 dollars. Play head to head against the dealer - high card wins unless there's a tie and you go to war!  Compare your bankroll with other players by saying ""read high scores"" to hear the leader board. Keep playing and you can move to the top!Have feedback or features you'd like to see? Connect with us on Facebook at https://www.facebook.com/alexacasinogames!"
,B075PFB7D7,Craps Table,repos/gsdriver/craps,Garrett Vargas,"Roll the dice - will you be a big winner? Place multiple bets on the craps table - pass or don't pass, and take odds. You can also place bets on the field, numbers, hard way bets, and many other popular table bets! Keep track of your high score and compare how you're doing with other players by saying ""read high scores"" to hear the leader board. Keep playing and you can move to the top!Have feedback or want to share your thoughts on this skill? Connect with us on Facebook at https://www.facebook.com/alexacasinogames!","Roll the dice - will you be a big winner? Place multiple bets on the craps table - pass or don't pass, and take odds. You can also place bets on the field, numbers, hard way bets, and many other popular table bets! Keep track of your high score and compare how you're doing with other players by saying ""read high scores"" to hear the leader board. Keep playing and you can move to the top!Have feedback or want to share your thoughts on this skill? Connect with us on Facebook at https://www.facebook.com/alexacasinogames!"
,B07HRLTJ8J,Party Craps - Multiplayer Edition,repos/gsdriver/craps-party,Garrett Vargas,Play a fast paced game of Craps in this party edition of the popular casino game.  Up to 4 players can join in using Echo Buttons to jump in and yell out their bets! Each player starts with $1000 and you keep playing until the last player busts out! Think you can come away the winner? Enjoy this game or want to give us feedback? Connect with us on Facebook at https://www.facebook.com/alexacasinogames!,Play a fast paced game of Craps in this party edition of the popular casino game.  Up to 4 players can join in and yell out their bets! Each player starts with $1000 and you keep playing until the last player busts out! Think you can come away the winner? Enjoy this game or want to give us feedback? Connect with us on Facebook at https://www.facebook.com/alexacasinogames!
,B01MQGSQYQ,Blackjack Game,repos/gsdriver/play-blackjack-alexa,Garrett Vargas,"Play rounds of blackjack, tracking your bankroll as you play.  You start with 5,000 dollars in credit and can vary your bet from 5 to 1,000 dollars.  Improve your blackjack skills by asking for a suggestion on any hand (""what should I do"") or use training mode (""enter training mode""), where Alexa will prompt you with the recommended play on every hand, based on the game options currently being used!  This full-featured game has it all - hit, stand, split, double down, and even surrender.  You can also ""change"" options such as the number of decks (1, 2, 4, 6, or 8) or whether surrender is allowed or not.NEW: We have two premium experiences available for purchase!  Spanish 21 is an exciting blackjack variant that gives you bonus payouts for certain hands.  We also have analyzed half a millions hands of play, and have an Advanced Training mode that allows you to improve your game by focusing on those hands that stumped the most players of this skill.  Just say ""What can I buy"" to access this premium content.There is also a triple seven progressive side bet.  For a 5 dollar side bet, you win if your first, first two, or first three cards are sevens.  Got three sevens?  Then you win the progressive jackpot, which increases based on aggregate play of this skill!  Play with your friends and really watch that jackpot grow!At any time, you can ask to ""read the rules"" or ""repeat"" to hear the current rules in play or to repeat your hand and bankroll.  If you need to reset the game to its original state and rules of play, say ""reset game.""Join us each Tuesday to play in an exciting tournament round! See if you can get the highest bankroll with a fixed number of hands.  You can ask Alexa ""set a reminder for the tournament"" and you'll be notified when the tournament is underway.  Compare your bankroll with other players by saying ""read high scores"" to hear the leader board. Keep playing and you can move to the top!Have feedback or features you'd like to see?  Connect with us on Facebook at https://www.facebook.com/alexacasinogames!","Play rounds of blackjack, tracking your bankroll as you play.  You start with 5,000 dollars in credit and can vary your bet from 5 to 1,000 dollars.  Improve your blackjack skills by asking for a suggestion on any hand (""what should I do"") or use training mode (""enter training mode""), where Alexa will prompt you with the recommended play on every hand, based on the game options currently being used!  This full-featured game has it all - hit, stand, split, double down, and even surrender.  You can also ""change"" options such as the number of decks (1, 2, 4, 6, or 8) or whether surrender is allowed or not.NEW: We have two premium experiences available for purchase!  Spanish 21 is an exciting blackjack variant that gives you bonus payouts for certain hands.  We also have analyzed half a millions hands of play, and have an Advanced Training mode that allows you to improve your game by focusing on those hands that stumped the most players of this skill. There is also a triple seven progressive side bet.  For a 5 dollar side bet, you win if your first, first two, or first three cards are sevens.  Got three sevens?  Then you win the progressive jackpot, which increases based on aggregate play of this skill!  Play with your friends and really watch that jackpot grow!At any time, you can ask to ""read the rules"" or ""repeat"" to hear the current rules in play or to repeat your hand and bankroll.  If you need to reset the game to its original state and rules of play, say ""reset game.""Join us each Tuesday to play in an exciting tournament round! See if you can get the highest bankroll with a fixed number of hands.  You can ask Alexa ""set a reminder for the tournament"" and you'll be notified when the tournament is underway.  Compare your bankroll with other players by saying ""read high scores"" to hear the leader board. Keep playing and you can move to the top!Have feedback or features you'd like to see?  Connect with us on Facebook at https://www.facebook.com/alexacasinogames!"
,B06XW3F5GW,Roulette Wheel,repos/gsdriver/roulette,Garrett Vargas,"Spin the wheel - will you be a big winner?  Play with either an American (double zero) or European (single zero) wheel, optionally using an Echo Button to spin the wheel.  Want to play both types of games?  Just say ""change to a single zero wheel"" and you've cut the house edge in half!  You can place several different types of bets - both interior (single number, split between two numbers, on the corner of four adjacent numbers, on a row covering 3 or 6 numbers, or on a column of 12 numbers) and exterior (red, black, high, low, even, odd, or on one of the dozens).Keep track of your high score, separately per wheel, and compare how you're doing with other players by saying ""read high scores"" to hear the leader board. Keep playing and you can move to the top!We also feature an exciting tournament round every Thursday.  Compete against other players of this skill to win a tournament trophy!Have feedback or want to share your thoughts on this skill?  Connect with us on Facebook at https://www.facebook.com/alexacasinogames!","Spin the wheel - will you be a big winner?  Play with either an American (double zero) or European (single zero) wheel, optionally using an Echo Button to spin the wheel.  Want to play both types of games?  Just say ""change to a single zero wheel"" and you've cut the house edge in half!  You can place several different types of bets - both interior (single number, split between two numbers, on the corner of four adjacent numbers, on a row covering 3 or 6 numbers, or on a column of 12 numbers) and exterior (red, black, high, low, even, odd, or on one of the dozens).Keep track of your high score, separately per wheel, and compare how you're doing with other players by saying ""read high scores"" to hear the leader board. Keep playing and you can move to the top!You can also purchase access to an exciting tournament round every Thursday.  Compete against other players of this skill to win a tournament trophy!Have feedback or want to share your thoughts on this skill?  Connect with us on Facebook at https://www.facebook.com/alexacasinogames!"
,B07JB3MV6Y,Three Card Poker,repos/gsdriver/ThreeCardPoker,Garrett Vargas,"Play three card draw poker against other players worldwide including optional support for Echo Buttons. When using Echo Buttons, you'll use two buttons - one to hold cards and another to discard. Each turn you'll be pitted against another player and try to add to your chip total by beating them. If you're not sure which cards to hold and which to discard, you can ask Alexa for a suggestion. Run out of chips for the day? Come back the next day for additional chips. Have feedback or want to share your thoughts on this skill?  Connect with us on Facebook at https://www.facebook.com/alexacasinogames!","Play three card draw poker against other players worldwide including optional support for Echo Buttons. When using Echo Buttons, you'll use two buttons - one to hold cards and another to discard. Each turn you'll be pitted against another player and try to add to your chip total by beating them. If you're not sure which cards to hold and which to discard, you can ask Alexa for a suggestion. Run out of chips for the day? Come back the next day for additional chips. Have feedback or want to share your thoughts on this skill?  Connect with us on Facebook at https://www.facebook.com/alexacasinogames!"
,B07465B5ZK,Video Poker,repos/gsdriver/videopoker,Garrett Vargas,"Play and learn on different video poker machines including Jacks or Better and Deuces Wild.  This Alexa skill not only lets you play these machines, it also teaches you how to play - you can ask ""What should I do?"" on any hand and hear the optimal play.  These games also feature an exciting progressive jackpot that grows based on aggregate play.  You start with 1,000 coins and can vary your bet from 1 to 5 coins per spin.  Don't worry if you go bust - we'll automatically reset your bankroll.  Will you hit the jackpot?Keep track of your high score and compare how you're doing with other players by saying ""read high scores"" to hear the leader board. Keep playing and you can move to the top!At any time, you can ask to ""read the payout table"" to hear the different payouts from the game, or ""select a new machine"" if you want to try a different game.  Good luck!Connect with us on Facebook at https://www.facebook.com/alexacasinogames!","Play and learn on different video poker machines including Jacks or Better and Deuces Wild.  This Alexa skill not only lets you play these machines, it also teaches you how to play - you can ask ""What should I do?"" on any hand and hear the optimal play.  These games also feature an exciting progressive jackpot that grows based on aggregate play.  You start with 1,000 coins and can vary your bet from 1 to 5 coins per spin.  Don't worry if you go bust - we'll automatically reset your bankroll.  Will you hit the jackpot?Keep track of your high score and compare how you're doing with other players by saying ""read high scores"" to hear the leader board. Keep playing and you can move to the top!At any time, you can ask to ""read the payout table"" to hear the different payouts from the game, or ""select a new machine"" if you want to try a different game.  Good luck!Connect with us on Facebook at https://www.facebook.com/alexacasinogames!"
incomplete privacy policy,B07RRKKL94,Polar Cast,repos/gusgad/alexa-polarcast,Guseyn Gadirov,"Guess how much of daylight you will have today? Know the answer? Alexa does. Just say: Alexa, ask Polar Cast how long we are going to have daylight for.","Guess how much of daylight you will have today? Know the answer? Alexa does. Just say: Alexa, ask Polar Cast how long we are going to have daylight for."
,B072DVXV8X,Just The Temperature,repos/haackr/JustTheTemp,HAACKR LLC,This skill gives you the current temperature without any of the other information you usually get from Alexa when you ask for the temperature. All temperature data comes from OpenWeatherMap.,This skill gives you the current temperature without any of the other information you usually get from Alexa when you ask for the temperature. All temperature data comes from OpenWeatherMap.
,B07MJR9GC6,Berry Bash,repos/harsh4870/Berry-bash,harsh manvar,Find out about berries!,Find out about berries! and get some awesome knowledge about berry and also play quiz for fun
,B076GNK2CD,JS Conf Calendar,repos/jaydp17/js-conf-calendar,Jaydeep Solanki,Helps discover Javascript Conferences,Helps discover Javascript Conferences
,B0831NFP97,Code Mash,repos/jeffblankenburg/Codemash-Scavenger-Hunt,Jeff Blankenburg,"This is a real-world scavenger hunt around the Kalahari Resort that takes place during the Codemash 2020 conference, starting on January 9th.  The starting location for this scavenger hunt is the large bronze gorilla at the entrance of the Kalahari Convention Center.  Find the clues, tell them to Alexa, and move to the next step!  The first ten participants to complete the hunt will win a prize, but everyone that finishes will win a cool sticker!","This is a real-world scavenger hunt around the Kalahari Resort that takes place during the Codemash 2020 conference, starting on January 9th.  The starting location for this scavenger hunt is the large bronze gorilla at the entrance of the Kalahari Convention Center.  Find the clues, tell them to Alexa, and move to the next step!  The first ten participants to complete the hunt will win a prize, but everyone that finishes will win a cool sticker!"
,B08ZNJ2FQY,Papio Menu Lunch Bot,repos/jeffsheets/alexa-papio-lunch-menu,Jeff Sheets,"Hear the elementary lunch menu for Papillion La-Vista Schools from Alexa by saying:""Alexa ask Papio Menu what's for lunch today""or ""Alexa ask Papio Menu what is for lunch tomorrow""or ""Alexa ask Papio Menu what are we having for lunch on Friday""or ""Alexa ask Papio Menu what is for lunch on March 9, 2021""","Hear the elementary lunch menu for Papillion La-Vista Schools from Alexa by saying:""Alexa ask Papio Menu what's for lunch today""or ""Alexa ask Papio Menu what is for lunch tomorrow""or ""Alexa ask Papio Menu what are we having for lunch on Friday""or ""Alexa ask Papio Menu what is for lunch March 9, 2021"""
unrelated privacy policy,B06XJSWYBN,Next Episode,repos/JohannesKuehnel/next-episode,Johannes Kühnel,Want to know when your favorite TV show airs next?Just ask Next Episode about your show and never miss a new episode!,Want to know when your favorite TV show airs next?Just ask Next Episode about your show and never miss a new episode!
